valid_time,latitude,longitude,ro,tp,number,expver,distance
2025-11-07 15:00:00,44.499999999999964,8.89999999999999,0.00015518069,0.0007359609,0,1,0.0999999999999659
2025-11-07 16:00:00,44.499999999999964,8.89999999999999,0.00017115474,0.0009918734,0,1,0.0999999999999659
2025-11-07 17:00:00,44.499999999999964,8.89999999999999,0.00017981231,0.0009918734,0,1,0.0999999999999659
2025-11-07 18:00:00,44.499999999999964,8.89999999999999,0.00018846989,0.0009918734,0,1,0.0999999999999659
2025-11-07 19:00:00,44.499999999999964,8.89999999999999,0.00019715726,0.0009918734,0,1,0.0999999999999659
2025-11-07 20:00:00,44.499999999999964,8.89999999999999,0.00020584464,0.000991866,0,1,0.0999999999999659
2025-11-07 21:00:00,44.499999999999964,8.89999999999999,0.00021453202,0.000991866,0,1,0.0999999999999659
2025-11-07 22:00:00,44.499999999999964,8.89999999999999,0.0002232343,0.000991866,0,1,0.0999999999999659
2025-11-07 23:00:00,44.499999999999964,8.89999999999999,0.00023195148,0.000991866,0,1,0.0999999999999659
2025-11-08 00:00:00,44.499999999999964,8.89999999999999,0.00024066865,0.000991866,0,1,0.0999999999999659
2025-11-08 01:00:00,44.499999999999964,8.89999999999999,8.728355e-06,0.0,0,1,0.0999999999999659
2025-11-08 02:00:00,44.499999999999964,8.89999999999999,1.7464161e-05,0.0,0,1,0.0999999999999659
2025-11-08 03:00:00,44.499999999999964,8.89999999999999,2.6211143e-05,0.0,0,1,0.0999999999999659
2025-11-08 04:00:00,44.499999999999964,8.89999999999999,3.4987926e-05,8.5681677e-07,0,1,0.0999999999999659
2025-11-08 05:00:00,44.499999999999964,8.89999999999999,4.374981e-05,8.5681677e-07,0,1,0.0999999999999659
2025-11-08 06:00:00,44.499999999999964,8.89999999999999,5.2519143e-05,8.5681677e-07,0,1,0.0999999999999659
2025-11-08 07:00:00,44.499999999999964,8.89999999999999,6.131828e-05,1.5050173e-06,0,1,0.0999999999999659
2025-11-08 08:00:00,44.499999999999964,8.89999999999999,7.0117414e-05,1.937151e-06,0,1,0.0999999999999659
